1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
1.0,3.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
1.0,3.0,5.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,
1.0,3.0,6.0,8.0,7.0,4.0,1.0,,,,,,,,,,,,,,,,,
1.0,3.0,6.0,9.0,10.0,8.0,4.0,1.0,,,,,,,,,,,,,,,,
1.0,4.0,9.0,15.0,19.0,18.0,12.0,5.0,1.0,,,,,,,,,,,,,,,
1.0,4.0,10.0,18.0,25.0,27.0,22.0,13.0,5.0,1.0,,,,,,,,,,,,,,
1.0,4.0,11.0,22.0,34.0,42.0,41.0,31.0,17.0,6.0,1.0,,,,,,,,,,,,,
1.0,4.0,11.0,23.0,38.0,51.0,56.0,50.0,35.0,18.0,6.0,1.0,,,,,,,,,,,,
1.0,4.0,12.0,28.0,52.0,79.0,99.0,102.0,84.0,53.0,24.0,7.0,1.0,,,,,,,,,,,
1.0,4.0,12.0,29.0,57.0,93.0,127.0,145.0,136.0,102.0,59.0,25.0,7.0,1.0,,,,,,,,,,
1.0,4.0,12.0,30.0,63.0,112.0,169.0,216.0,231.0,203.0,143.0,78.0,31.0,8.0,1.0,,,,,,,,,
1.0,4.0,12.0,30.0,64.0,118.0,188.0,258.0,302.0,298.0,244.0,162.0,84.0,32.0,8.0,1.0,,,,,,,,
1.0,5.0,16.0,42.0,94.0,182.0,306.0,446.0,560.0,600.0,542.0,406.0,246.0,116.0,40.0,9.0,1.0,,,,,,,
1.0,5.0,17.0,46.0,106.0,212.0,370.0,564.0,748.0,858.0,844.0,704.0,490.0,278.0,124.0,41.0,9.0,1.0,,,,,,
1.0,5.0,18.0,51.0,122.0,254.0,464.0,746.0,1054.0,1304.0,1404.0,1304.0,1032.0,684.0,370.0,157.0,49.0,10.0,1.0,,,,,
1.0,5.0,18.0,52.0,127.0,270.0,506.0,840.0,1236.0,1610.0,1850.0,1864.0,1632.0,1226.0,776.0,403.0,165.0,50.0,10.0,1.0,,,,
1.0,5.0,19.0,58.0,149.0,333.0,658.0,1158.0,1818.0,2544.0,3162.0,3470.0,3334.0,2774.0,1970.0,1171.0,567.0,215.0,60.0,11.0,1.0,,,
1.0,5.0,19.0,59.0,155.0,355.0,721.0,1310.0,2136.0,3126.0,4096.0,4782.0,4940.0,4476.0,3518.0,2365.0,1335.0,617.0,225.0,61.0,11.0,1.0,,
1.0,5.0,19.0,60.0,162.0,383.0,806.0,1525.0,2606.0,4026.0,5612.0,7028.0,7858.0,7784.0,6768.0,5107.0,3297.0,1787.0,792.0,276.0,71.0,12.0,1.0,
1.0,5.0,19.0,60.0,163.0,390.0,834.0,1610.0,2821.0,4496.0,6512.0,8544.0,10104.0,10702.0,10076.0,8357.0,6039.0,3749.0,1962.0,843.0,286.0,72.0,12.0,1.0
